Section,Item,XS_0801,XS_0803,XS_0805,XS_0807,XS_0811,XS_0814,XS_0815,XS_0819,XS_0820,XS_0821,XS_0822,XS_0825,XS_0826,XS_1201,XS_1205,XS_1208,XS_1211,XS_1216,XS_1218,XS_1219,XS_1222,XS_1224,XS_1225,XS_1229,XS_1230,XS_1604,XS_1612,XS_1614,XS_1619,XS_1622,XS_1628,XS_1629,XS_1631,XS_1634,XS_1635,XS_1636,XS_1638,XS_1639
Food and Drink,milk,No,No,No,No,Understands,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Produces,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Produces,Understands,Produces,Understands,Understands,Understands,Understands,Produces,Understands,Understands,Understands
Food and Drink,noodles,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,Understands,No,No,No,No,Produces,Understands,No,No
Food and Drink,orange,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Understands,No,Understands,Understands,No,No,No,No,No
Food and Drink,peas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,No,Understands,Understands,No,No,Understands,No,Understands,No,No
Food and Drink,pizza,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Produces,No,No,No,No,No,No,No,No,No,No
Food and Drink,raisin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,No
Food and Drink,spaghetti,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Food and Drink,toast,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,Understands,No,No,No,No,No,No,No,No,No,No
Food and Drink,water,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,Understands,Produces,Produces,Understands,No,Understands,No,No,Understands,Understands,Produces,Understands,Produces,Produces,Understands,Produces,Understands,Understands,Understands,No,Produces,Understands,No,No
Clothing,beads,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Clothing,bib,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,No,No,No,No,No,Understands,Understands,No,Produces,No,Produces,Understands,No,No,No,No,Understands,No,No
Clothing,boots,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Clothing,button,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,No,No,Understands,No,No
Clothing,coat,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Clothing,diaper,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Produces,No,Understands,Understands,Understands,No,Understands,Produces,Understands,Understands,Understands
Clothing,dress,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,No,No,No,No,Understands,No,No
Clothing,hat,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,Produces,Understands,Understands,Produces,Produces,Produces,No,Produces,Understands,Understands,Understands,Understands,Understands,Understands,No,Produces
Clothing,jacket,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Produces,No,No,No,No,No,Understands,No,No
Clothing,jeans,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Clothing,necklace,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,No,No,No,No,No,No,Understands
Clothing,pajamas,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Produces,No,Understands,Understands,No,Understands,No,Understands,Understands,No,Understands
Clothing,pants,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Produces,No,Understands,Understands,No,No,No,No,Understands,No,No
Clothing,shirt,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,Understands,No,No,No,No,Understands,No,No
Clothing,shoe,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Produces,Understands,No,Understands,No,No,No,No,Produces,Understands,Understands,Produces,Produces,No,Produces,Produces,Understands,Produces,Understands,Understands,Understands,Understands,Understands
Clothing,shorts,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,No,No
Clothing,sock,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,Understands,Understands,Produces,No,No,Understands,No,No,No,Understands,Understands,No,No
Clothing,sweater,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Clothing,zipper,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Body Parts,arm,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Produces,Understands,No,Understands,No,No,No,No,Understands,No,No
Body Parts,belly button,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,Understands,No,Produces,Understands,Understands,Understands,No,Understands,Understands,Produces,No,No,No
Body Parts,cheek,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,No,No,No,No
Body Parts,ear,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Understands,Understands,Understands,Understands,Understands,Understands,No,No,Understands,Produces,Understands,No,Produces
Body Parts,eye,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Produces,Understands,No,Understands
Body Parts,face,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,Understands,No,No,No,No,No,No,Understands,No,No
Body Parts,foot,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,Understands,No,Understands,Understands,No,Produces,No,Understands,No,No,Understands
Body Parts,finger,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,Understands,No,No
Body Parts,hair,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,Produces,No,Understands,No,Understands,Understands,Understands,Understands,No,No,No,Produces,No,No,Produces
Body Parts,hand,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Produces,Understands,Understands,Understands,No,Understands,Understands,No,Understands,No,Understands
Body Parts,head,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,Understands,No,Understands,Understands,Produces,Understands,Understands,Understands,Understands,No,Understands,Understands,No,No,Understands
Body Parts,knee,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,Understands,Produces,No,No,No
Body Parts,leg,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,No,No
Body Parts,mouth,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,No,No,Understands,Produces,Understands,No,Understands
Body Parts,nose,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Produces,Produces,Understands,Produces,Understands,No,No,Understands,Produces,Understands,No,Produces
Body Parts,owie/boo boo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Produces,No,No,No,Produces,Understands,No,No,Understands,Understands,No,Produces,No,Understands,No
Body Parts,tooth,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,Understands,No,Understands,Understands,Produces,No,Understands,Understands,No,Understands,Understands,Understands,No,No,Produces
Body Parts,toe,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,Understands,No,No,No,No,Understands,Understands,Understands,No,Understands,No,Produces,Understands,No,Produces,Understands,Produces,No,No,No
Body Parts,tongue,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,No,Understands,No,No,No,Understands,No,No,Understands
Body Parts,tummy,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Produces,Understands,No,Produces
Furniture and Rooms,bathroom,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,No,Understands,Understands,No,Understands
Furniture and Rooms,bathtub,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Produces,No,No,Understands,No,Understands
Furniture and Rooms,bed,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,No,Understands,No,Understands,No,No,No,Produces,No,Understands,Understands,Understands,Understands,No,Understands,No,No,Understands
Furniture and Rooms,bedroom,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,Understands,No,No,Understands,No,No,Understands,No,No
Furniture and Rooms,chair,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,Produces,No,Understands,Understands,Understands,No,Understands,Understands,Understands,No,Understands
Furniture and Rooms,couch,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,Understands,Understands,No,No,No,No,No,No
Furniture and Rooms,crib,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,Understands,No,Understands,No,No,No,Understands,No,No
Furniture and Rooms,door,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,No,Produces,Understands,Understands,Understands
Furniture and Rooms,drawer,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No
Furniture and Rooms,garage,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,No,No,No,No
Furniture and Rooms,high chair,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,Understands,No,Understands,Understands,Understands,No,No,Understands,Understands,No,No
Furniture and Rooms,kitchen,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,Understands,Understands,No,Understands,Understands,Understands,No,No
Furniture and Rooms,living room,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,Understands,No,No,No,No,Understands,No,No
Furniture and Rooms,oven,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No
Furniture and Rooms,play pen,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Furniture and Rooms,potty,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Produces,No,Understands,No,No,No,No,No,No
Furniture and Rooms,refrigerator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,No,Understands,Understands,No,No,No,No,Understands,No,No
Furniture and Rooms,rocking chair,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,No,No
Furniture and Rooms,sink,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,No,Understands,No,No
Furniture and Rooms,stairs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,No,No,No,No,Understands,Understands,Understands,No,No,Understands,No,Understands,No,Understands,No,No,No,Understands
Furniture and Rooms,stove,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Furniture and Rooms,table,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Produces,No,Understands,Understands,No,No,No,No,No,No,No
Furniture and Rooms,TV,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,No,No,No,No,No,No,No,No,Understands,No,No
Furniture and Rooms,window,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,No,Understands,Understands,No,No
Small Household Items,blanket,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,Understands,No,Understands,Understands,No,No,No,No,No,Understands,No,Understands,Understands,Produces,No,Understands,Understands,No,No,No,No,Understands,No,No
Small Household Items,bottle,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Produces,Understands,Produces,Understands,No,No,No,No,Produces,Understands,No,No,No,No,Produces,Understands,Understands,No,No,Understands,Understands,Understands,Produces
Small Household Items,bowl,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Produces,No,No,No,Understands,Produces,Understands,No,No
Small Household Items,box,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Produces,No,No,Understands,No,No,No,No,No,Understands,Understands
Small Household Items,broom,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands
Small Household Items,brush,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,Understands,Understands,Understands,No,No,No,Understands,No,Produces
Small Household Items,clock,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Produces,No,No,No
Small Household Items,comb,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,Understands,No,No
Small Household Items,cup,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Produces,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
Small Household Items,dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Small Household Items,fork,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,Understands,No,Understands,No,Understands,No,Understands,No,No
Small Household Items,glass,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Small Household Items,glasses,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,No,No,No,No,No,No,No,No,No,Understands,Produces,No,No,No,No,No,No,Understands,Understands,No,Understands
Small Household Items,hammer,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Small Household Items,keys,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Produces,No,No,No,No,Understands,No,No,No,Understands,Produces,No,No,No,Understands,No,No,No,Understands,Understands,No,No
Small Household Items,lamp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Small Household Items,light,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,Produces,Understands,Understands,Produces,Understands,No,Understands,Understands,No,No,No,Understands,No,No,Understands
Small Household Items,medicine,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No
Small Household Items,money,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,No
Small Household Items,paper,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,Understands,No,No,No,Understands,Understands,No,No
Small Household Items,penny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Small Household Items,picture,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,Understands,No,No
Small Household Items,pillow,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,No,No,Understands,No,No,No,Understands,No,No
Small Household Items,plant,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,Understands,No,No
Small Household Items,plate,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,No,No,No,No,Understands,No,No
Small Household Items,purse,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,No
Small Household Items,radio,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Small Household Items,scissors,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Small Household Items,soap,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Produces,Produces,No,No,Understands,No,No,No,No,Understands,No,No
Small Household Items,spoon,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Understands,No,No,Understands,No,No,Understands,No,Understands,No,No
Small Household Items,telephone,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,Understands,No,Understands,No,Understands,Understands,No,Understands
Small Household Items,toothbrush,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,No,Understands,Understands,Understands,No,Understands
Small Household Items,towel,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,No,No,No,No,Understands,No,No
Small Household Items,trash,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Produces,No,No,Understands,Understands,No,No,Understands,Understands,No,Understands
Small Household Items,vacuum,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,No,Understands,No,No,No,No,Understands,No,Understands
Small Household Items,watch,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
Outside Things and Places to Go,backyard,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,Understands,Understands,No,No,No,No,No,No
Outside Things and Places to Go,beach,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No
Outside Things and Places to Go,church,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Outside Things and Places to Go,flower,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,Produces,No,No,Understands,No,No,No,Produces,Understands,No,Produces
Outside Things and Places to Go,garden,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No
Outside Things and Places to Go,home,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,Understands,No,No,No,Understands,No,No,Produces,Understands,No,Understands
Outside Things and Places to Go,house,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,Understands,Understands,No,No,No,No,No,No
Outside Things and Places to Go,moon,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Produces,Understands,Understands,No,Understands,No,No,Understands,No,No,No,Produces,Understands,Produces,Understands
Outside Things and Places to Go,outside,No,No,Understands,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,Understands,No,Understands,No,No,No,Understands,Produces,Understands,Understands,No,Produces,No,Produces,Understands,Understands,No,Understands,Understands,Understands,Understands,Produces
Outside Things and Places to Go,park,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Understands,Understands,No,No,Produces,No,No,Understands,Understands,No,Understands,Understands,Understands,No,Understands
Outside Things and Places to Go,party,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Outside Things and Places to Go,pool,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,No,Understands,No,No,Understands,No,No,Understands
Outside Things and Places to Go,rain,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No
Outside Things and Places to Go,rock,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Produces,No,No,No,Understands,No,No,Understands,Understands,No,No
Outside Things and Places to Go,school,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,Understands,No,No
Outside Things and Places to Go,shovel,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,Understands,No,No,No,Understands,No,No,No
Outside Things and Places to Go,sky,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,No,Understands,No,No,No,No,No,No,No
Outside Things and Places to Go,slide,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Produces,No,No,Understands,No,No,No,Understands,Understands,No,Understands
Outside Things and Places to Go,snow,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Outside Things and Places to Go,star,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,Understands,No,No,No,Produces,No,No,Understands
Outside Things and Places to Go,store,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,No,No,Understands,No,No,Understands,No,No,No
Outside Things and Places to Go,sun,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,Understands,No,No
Outside Things and Places to Go,swing,No,No,Understands,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,No,No,Understands,No,No,Understands,Understands,Understands,No,Understands
Outside Things and Places to Go,tree,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,Produces,Understands,Understands,Understands,No,No,Understands,No,No,No,Produces,Understands,No,No
Outside Things and Places to Go,water,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,Understands,Produces,Understands,Produces,Produces,No,Produces,Understands,No,Understands,Understands,Produces,Understands,Understands,Understands
Outside Things and Places to Go,work,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Outside Things and Places to Go,zoo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No
People,aunt,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No
